zip_code,sqft_price
10025,1270
60657,295
10023,1521
60614,329
79936,82
10002,1368
60640,222
77084,84
94109,1105
75070,131
11226,539
77449,87
11375,609
32162,161
11235,531
60647,284
37211,144
90250,453
37013,116
10009,1382
60618,299
10029,1084
10128,1230
28269,100
30349,68
79912,90
90046,786
94565,264
10456,271
60613,248
78660,113
75052,99
20009,628
20002,508
21234,154
63376,125
30044,97
60629,143
60625,260
11206,474
11201,1150
78613,128
11212,346
37042,87
75287,153
10024,1440
77429,93
85032,169
78130,121
11214,557
78521,61
30043,103
30096,116
23464,140
94501,608
7030,749
60619,117
73099,93
94110,1074
28277,139
90034,757
33160,261
33139,453
44107,107
77379,88
11377,548
90044,345
33411,153
11234,405
90650,371
90805,373
11207,343
75067,132
60617,102
44035,71
23462,128
19143,58
48197,112
78704,365
92683,414
8701,156
85710,106
11355,613
66062,128
78745,201
95630,256
91910,294
90026,669
10314,326
87111,133
94558,391
11215,1059
98052,389
30024,124
32210,85
6010,130
11221,582
33025,158
60610,331
30281,80
89108,125
78240,102
85225,152
77433,94
2169,298
33009,187
15601,113
93722,142
48180,81
78245,88
17603,109
95608,227
85308,148
94533,234
60611,336
14850,159
87114,107
33024,180
80013,213
20906,215
37075,126
11211,1044
90066,856
11385,476
85281,173
44060,97
43081,119
28027,112
85364,96
8753,161
92677,420
91709,331
65807,77
60620,113
75034,149
60634,209
95823,187
92804,395
27410,106
6902,250
43123,107
20011,406
60016,178
92109,564
45011,101
60628,97
90019,625
91911,294
44256,114
76028,108
33908,156
2148,294
89121,108
33647,118
89117,145
47906,95
92345,147
43130,100
28314,73
40475,98
94536,585
92503,240
65203,99
7002,185
19111,122
92126,383
27406,79
91730,280
90201,387
97229,249
29732,103
27610,102
76244,110
98103,527
10457,259
21740,108
77095,89
32822,114
22191,196
90280,351
60626,170
92592,202
87120,108
98012,252
10027,977
90004,736
92336,211
30062,143
46307,109
33012,164
80134,212
23454,164
46227,83
11238,967
74012,83
21117,160
90706,355
60649,112
7093,268
11372,537
99301,134
32244,90
11233,658
48103,230
33186,181
92335,242
92021,297
85705,107
20019,268
76063,112
43230,117
23320,127
22193,202
93065,316
45840,89
48185,107
27834,65
44130,94
92101,541
91342,316
11223,606
30331,76
20878,263
30080,137
92627,531
33311,133
27858,83
30188,119
10021,1406
2155,369
37130,122
90011,334
87121,91
43701,78
32256,112
33027,154
23666,111
19124,75
90025,602
30022,150
90027,740
58103,156
33064,148
34135,173
30040,120
79938,82
32218,88
77845,119
33063,133
44077,90
43026,124
23452,156
30052,93
10701,280
90731,414
27587,128
33313,74
80634,139
34711,122
91335,362
71913,87
38401,107
97402,174
95123,534
60616,244
32174,124
94544,451
30041,129
2360,211
20001,589
43228,90
93550,165
89052,174
30318,134
11208,351
21215,101
75150,101
72401,78
94509,242
63123,125
95747,225
93309,127
89123,150
20147,227
40601,294
19446,159
8831,184
43068,94
34953,116
7087,266
35242,184
95687,244
45601,81
94122,880
75056,133
29072,96
91710,281
27713,125
23223,101
60453,143
7302,762
60641,230
93535,140
60622,308
32225,120
93536,159
93257,127
23451,223
93727,140
28078,126
14221,125
19120,78
48823,128
93306,122
32828,129
60660,190
76116,104
2301,180
80525,193
33321,130
55901,169
19720,138
30135,88
22204,361
11204,558
80015,198
95758,207
19020,154
30127,100
60056,211
21122,219
27707,130
10032,775
21222,127
20874,209
11219,541
33319,83
85282,157
60085,90
95076,386
77840,114
33467,152
89031,128
94538,594
42101,90
93307,122
31907,57
60615,192
29730,92
33157,183
98133,359
94541,422
29223,72
28601,89
11225,628
32792,140
90802,425
11213,551
31419,97
63021,142
73160,89
95035,593
78249,102
11368,605
92115,348
29445,113
14580,117
27284,90
63129,125
92104,520
20020,263
15301,104
90631,393
6516,134
85022,158
93274,131
11203,338
85301,103
92646,461
93230,132
30004,153
75002,132
1960,249
94587,476
92647,476
66061,130
31088,74
92630,389
95051,840
98115,474
32608,122
85008,148
97045,218
89110,119
92376,212
10031,850
33511,117
95355,179
36117,77
98632,119
21224,155
92154,288
33458,195
43229,90
34787,127
97401,191
32246,113
29485,111
33414,169
27705,132
67401,92
37167,124
17331,116
21061,192
95014,1020
99208,149
85345,127
74133,83
95670,213
92105,362
46143,87
98682,191
60148,177
45013,96
32303,99
85251,193
19067,176
20852,329
30066,124
19134,46
79924,70
30253,80
60637,115
28210,163
38655,112
94080,652
28215,94
75035,138
70072,99
83301,95
72712,106
77521,87
33433,167
47150,86
89103,125
12180,110
10014,1808
90640,350
14094,91
78758,167
33015,171
78759,204
28216,89
59901,149
92648,485
38305,70
45044,89
23322,140
37027,176
32765,142
37421,91
1201,117
59102,163
28205,154
20904,223
30083,70
94513,251
94087,1052
30067,134
42701,90
8759,111
30047,103
30263,95
78251,92
94112,761
53704,162
7305,241
23455,164
30058,63
60608,213
11216,874
95125,710
28227,105
29681,103
92122,437
41042,103
96815,732
30101,112
90036,785
19148,180
37064,176
33436,142
27265,90
33324,157
43015,120
37040,88
33021,164
98208,228
43302,62
27407,86
92117,443
37122,136
77070,88
98034,358
54601,101
48439,100
27703,103
78753,154
92128,360
11746,217
33463,137
94806,330
92562,190
7047,236
60004,213
78664,120
95648,246
6457,141
2151,256
33308,265
32825,130
34668,78
94591,249
2780,180
78209,189
2135,536
84404,142
33141,268
91331,345
7728,189
53711,184
85201,135
20910,362
89074,145
8873,180
55124,228
93308,128
48066,75
28540,85
17601,136
8527,173
6511,121
19144,87
22192,201
27106,85
37066,121
97124,216
32771,118
30075,157
70065,118
45140,119
45424,74
22201,521
33023,160
94568,474
90042,547
78641,124
92020,298
47130,83
61761,63
92620,435
95112,576
94553,373
73505,57
37129,126
72034,94
19702,136
30144,105
80219,286
21218,107
91801,402
37128,123
32839,101
92882,250
30907,86
19711,152
76051,152
96706,429
34293,147
79109,84
85351,108
94015,713
92201,161
75204,242
60402,162
7111,93
27519,153
70816,108
89147,142
92399,208
98225,247
33312,179
11354,616
77373,81
65202,89
78223,87
39759,89
63116,114
53209,51
19380,179
22407,149
94086,932
34748,97
48038,122
73013,102
8021,92
63301,125
19131,68
96797,457
11374,555
95350,186
60638,188
45040,113
92704,395
24060,129
97504,167
97206,316
85255,244
34698,153
83709,130
33437,150
92024,501
78520,62
21206,114
44646,84
92553,190
97405,208
75093,160
28025,107
61265,76
95008,745
92056,313
19382,175
75115,87
60639,188
84015,159
19140,46
99336,144
22003,300
28645,69
34997,148
4401,95
7306,338
92071,316
89119,114
27603,125
95624,206
19145,150
11210,499
23456,151
22030,274
96817,531
70119,192
92130,460
32137,118
36695,87
45238,81
38016,78
92626,460
85374,138
89129,137
34952,117
90006,478
23225,136
23112,125
